experiment,fold_idx,checkpoint,val_loss,old_accuracy,corrected_iou,dice,binary_iou,original_reported_accu,original_reported_loss
utooth_10f_v1,0,utooth-epoch=27-val_loss=0.4822.ckpt,0.46079198519388836,0.5215674936771393,0.42475295066833496,0.5122393071651459,0.39219574133555096,,0.4822363257408142
utooth_10f_v1,1,utooth-epoch=38-val_loss=0.1030.ckpt,0.09785664081573486,0.5964747667312622,0.8292516867319742,0.9044835766156515,0.8300682107607523,,0.10295838117599487
utooth_10f_v1,2,utooth-epoch=47-val_loss=0.1092.ckpt,0.1066214640935262,0.6212934851646423,0.7881370981534322,0.863400936126709,0.8193251689275106,,0.1092149019241333
utooth_10f_v1,3,utooth-epoch=42-val_loss=0.1471.ckpt,0.15688888231913248,0.5851118961970011,0.6969730158646902,0.7600975732008616,0.7453156510988871,,0.14714449644088745
utooth_10f_v1,4,utooth-epoch=40-val_loss=0.1133.ckpt,0.12866548697153726,0.556546668211619,0.7860510945320129,0.8498068253199259,0.7790758411089579,,0.11331725120544434
utooth_10f_v1,5,utooth-epoch=45-val_loss=0.1694.ckpt,0.19844428698221842,0.5281728307406107,0.6754747033119202,0.771259625752767,0.6842992305755615,,0.16939300298690796
utooth_10f_v1,6,utooth-epoch=42-val_loss=0.1304.ckpt,0.12548931439717612,0.6554712057113647,0.7872544129689535,0.8778048356374105,0.7844424247741699,,0.13035434484481812
utooth_10f_v1,7,utooth-epoch=46-val_loss=0.1095.ckpt,0.11051231622695923,0.6713661551475525,0.7991816401481628,0.8746187289555868,0.806576689084371,,0.10945147275924683
utooth_10f_v1,8,utooth-epoch=28-val_loss=0.1147.ckpt,0.11503255367279053,0.5442370772361755,0.7976205348968506,0.8861417472362518,0.80099818110466,,0.11470407247543335
utooth_10f_v1,9,utooth-epoch=32-val_loss=0.1551.ckpt,0.1558123528957367,0.5440085828304291,0.7496230900287628,0.8515186309814453,0.7422408759593964,,0.15508151054382324
utooth_10f_v2,0,utooth-epoch=44-val_loss=0.1719.ckpt,0.16309932867685953,0.6081969340642294,0.7019820809364319,0.7760568062464396,0.7362721761067709,,0.17189770936965942
utooth_10f_v2,1,utooth-epoch=25-val_loss=0.1176.ckpt,0.11507896582285564,0.5576105912526449,0.8229867418607076,0.9013995925585429,0.8083269397417704,,0.11756467819213867
utooth_10f_v2,2,utooth-epoch=21-val_loss=0.3253.ckpt,0.30095277229944867,0.5334494709968567,0.6323768595854441,0.7167577147483826,0.6136308709780375,,0.3252643346786499
utooth_10f_v2,3,utooth-epoch=44-val_loss=0.1542.ckpt,0.16141106685002646,0.5707571307818095,0.7509100039800009,0.8325803478558859,0.7488258282343546,,0.15417474508285522
utooth_10f_v2,4,utooth-epoch=49-val_loss=0.1106.ckpt,0.10818580786387126,0.5963995655377706,0.808355470498403,0.892634113629659,0.8107112646102905,,0.1106368899345398
utooth_10f_v2,5,utooth-epoch=38-val_loss=0.1226.ckpt,0.14146173000335693,0.5657548308372498,0.7692554791768392,0.8645122845967611,0.8030734856923422,,0.12263840436935425
utooth_10f_v2,6,utooth-epoch=49-val_loss=0.1060.ckpt,0.10766537984212239,0.6809104879697164,0.8118801911671957,0.8954735398292542,0.814545214176178,,0.10595136880874634
utooth_10f_v2,7,utooth-epoch=30-val_loss=0.2015.ckpt,0.2216127316157023,0.5256483356157938,0.6061717371145884,0.7062548200289408,0.6605280439058939,,0.20147430896759033
utooth_10f_v2,8,utooth-epoch=49-val_loss=0.1454.ckpt,0.15466630458831787,0.6187968850135803,0.7270342409610748,0.8131852447986603,0.7403721213340759,,0.1453680396080017
utooth_10f_v2,9,utooth-epoch=31-val_loss=0.1688.ckpt,0.1693061888217926,0.5078398585319519,0.7351024448871613,0.8414974808692932,0.7301140427589417,,0.16877543926239014
utooth_10f_v3,0,utooth-epoch=56-val_loss=0.1157.ckpt,0.13189548254013062,0.5534615914026896,0.7696869174639384,0.8654585878054301,0.784229556719462,0.5733702778816223,0.11569708585739136
utooth_10f_v3,1,utooth-epoch=48-val_loss=0.1038.ckpt,0.11169075965881348,0.5965627431869507,0.7840065558751425,0.8595775961875916,0.8117179870605469,0.7142395973205566,0.10382556915283203
utooth_10f_v3,2,utooth-epoch=47-val_loss=0.3371.ckpt,0.30342717965443927,0.5761333902676901,0.6098512709140778,0.6828824281692505,0.5747227172056834,0.6028931140899658,0.3371087908744812
utooth_10f_v3,3,utooth-epoch=60-val_loss=0.1457.ckpt,0.16293559471766153,0.5714109937349955,0.7171667218208313,0.8155601819356283,0.7276390989621481,0.5775966048240662,0.14574068784713745
utooth_10f_v3,4,utooth-epoch=43-val_loss=0.2227.ckpt,0.25349167982737225,0.5597098072369894,0.5814139346281687,0.6801064411799113,0.6089652379353842,0.5786515474319458,0.22266773879528046
utooth_10f_v3,5,utooth-epoch=49-val_loss=0.1542.ckpt,0.19517050186793009,0.547157088915507,0.6848898132642111,0.7791818181673685,0.6978928744792938,0.6060528755187988,0.15422552824020386
utooth_10f_v3,6,utooth-epoch=57-val_loss=0.1025.ckpt,0.12085904677708943,0.6266064445177714,0.7864286700884501,0.8501614928245544,0.791323184967041,0.6597135066986084,0.10245311260223389
utooth_10f_v3,7,utooth-epoch=61-val_loss=0.0844.ckpt,0.08108842372894287,0.6737412611643473,0.8503597180048624,0.918658971786499,0.8530414899190267,0.6768726706504822,0.08439582586288452
utooth_10f_v3,8,utooth-epoch=49-val_loss=0.1158.ckpt,0.11882904171943665,0.5611225962638855,0.8164285719394684,0.8914750218391418,0.790817379951477,0.6403077840805054,0.11578249931335449
utooth_10f_v3,9,utooth-epoch=42-val_loss=0.1000.ckpt,0.10086160898208618,0.5479693412780762,0.8219340145587921,0.901593804359436,0.8230095505714417,0.6690560579299927,0.0999535322189331
utooth_10f_v4,0,utooth-epoch=45-val_loss=0.1435.ckpt,0.1568009853363037,0.5811406970024109,0.7381534973780314,0.8221624692281088,0.7354158759117126,0.6248473525047302,0.14345324039459229
utooth_10f_v4,1,utooth-epoch=46-val_loss=0.3069.ckpt,0.2798695166905721,0.5966392954190572,0.6512139638264974,0.7261665463447571,0.6059629718462626,0.5877790451049805,0.3069162368774414
utooth_10f_v4,2,utooth-epoch=42-val_loss=0.1418.ckpt,0.1412052313486735,0.5456639726956686,0.7678121328353882,0.8482469121615092,0.7667260964711508,0.6270825266838074,0.1418454647064209
utooth_10f_v4,3,utooth-epoch=43-val_loss=0.2657.ckpt,0.24223188559214273,0.5479853550593058,0.6111748516559601,0.6805354356765747,0.6256173749764761,0.5527195930480957,0.2656528949737549
utooth_10f_v4,4,utooth-epoch=43-val_loss=0.1085.ckpt,0.11549874146779378,0.5756834149360657,0.8036803603172302,0.8865713874499003,0.8094514012336731,0.5924150943756104,0.10847389698028564
utooth_10f_v4,5,utooth-epoch=47-val_loss=0.1470.ckpt,0.15528281529744467,0.5990063150723776,0.683967669804891,0.7719006935755411,0.744596540927887,0.5964417457580566,0.14699941873550415
utooth_10f_v4,6,utooth-epoch=41-val_loss=0.0975.ckpt,0.09795522689819336,0.5919776558876038,0.8311178088188171,0.9073625405629476,0.8313330014546713,0.6357517242431641,0.09745687246322632
utooth_10f_v4,7,utooth-epoch=46-val_loss=0.1285.ckpt,0.13491171598434448,0.5523123145103455,0.7673235734303793,0.8649424115816752,0.763595978418986,0.6077484488487244,0.12848323583602905
utooth_10f_v4,8,utooth-epoch=48-val_loss=0.0933.ckpt,0.0932164192199707,0.6436610817909241,0.830464780330658,0.9067597985267639,0.8331664204597473,0.6628873348236084,0.09328478574752808
utooth_10f_v4,9,utooth-epoch=38-val_loss=0.1415.ckpt,0.14016273617744446,0.5592441260814667,0.7374137938022614,0.8198757469654083,0.7666033804416656,0.6093724966049194,0.1414628028869629
